unit_id,source,recording,start_s,end_s,dur_ms,nn_cluster,knn15_dist,outside_envelope,x,y
xc_XC1089006_006,xc,XC1089006,26.772607709750567,26.99900226757369,226,8,5.319,False,0.33,-2.09
xc_XC1089006_007,xc,XC1089006,32.59501133786848,32.84462585034014,249,8,5.889,False,1.0,-1.92
xc_XC1089006_008,xc,XC1089006,33.982403628117915,34.30167800453515,319,8,5.857,False,1.56,-1.79
xc_XC1089006_009,xc,XC1089006,36.17668934240363,36.40888888888889,232,8,5.779,False,1.16,-1.86
xc_XC1089006_010,xc,XC1089006,38.76571428571428,38.97469387755102,208,8,5.175,False,0.98,-1.83
xc_XC1089006_011,xc,XC1089006,39.89768707482993,39.94412698412698,46,49,6.722,True,-1.21,5.09
xc_XC1089006_012,xc,XC1089006,42.00489795918367,42.18485260770975,179,8,5.762,False,0.15,-1.55
xc_XC1089006_013,xc,XC1089006,42.97433106575964,43.13687074829932,162,29,7.103,True,7.22,13.31
xc_XC1089006_014,xc,XC1089006,44.01342403628118,44.199183673469385,185,29,7.746,True,6.95,12.87
xc_XC1089006_015,xc,XC1089006,46.95074829931973,47.15392290249433,203,8,5.342,False,0.88,-1.99
xc_XC1089006_016,xc,XC1089006,47.96662131519275,48.14657596371882,179,24,7.551,True,6.84,13.34
xc_XC1089006_017,xc,XC1089006,48.8431746031746,49.00571428571429,162,24,7.642,True,5.68,14.75
xc_XC1089006_018,xc,XC1089006,50.34666666666666,50.61950113378685,272,8,6.005,False,0.83,-1.52
xc_XC1089006_019,xc,XC1089006,53.0227664399093,53.23174603174603,208,8,5.611,False,1.2,-2.03
xc_XC1089006_020,xc,XC1089006,54.201179138322,54.43918367346939,238,8,5.885,False,1.44,-1.59
xc_XC1089006_021,xc,XC1089006,55.12997732426304,55.3621768707483,232,8,6.267,True,2.0,-0.62
xc_XC1089006_022,xc,XC1089006,56.05297052154195,56.21551020408163,162,-1,7.143,True,4.71,12.49
xc_XC1089006_023,xc,XC1089006,57.997641723356,58.20662131519274,208,8,5.449,False,1.05,-1.79
xc_XC1089006_024,xc,XC1089006,59.26893424036281,59.57079365079365,301,8,6.267,True,1.75,-1.49
